pmid,sentence,masked_sentence,abbr,FS
9949209,"The major cause of hepatic copper accumulation in man is a dysfunctional ATP7B gene, causing Wilson disease (WD).","The major cause of hepatic copper accumulation in man is a dysfunctional ATP7B gene, causing  WD.",WD,wilson disease
9949209,"We examined whether the WD gene ATP7B was also causative for CT by investigating the chromosomal co-localization of ATP7B and C04107, using fluorescence in situ hybridization (FISH).","We examined whether the WD gene ATP7B was also causative for CT by investigating the chromosomal co-localization of ATP7B and C04107, using fluorescence in situ hybridization (FISH).",WD,wilson disease
9949209,"However, BAC clones containing ATP7B and C04107 mapped to the canine chromosome regions CFA22q11 and CFA10q26, respectively, demonstrating that WD cannot be homologous to CT.","However, BAC clones containing ATP7B and C04107 mapped to the canine chromosome regions CFA22q11 and CFA10q26, respectively, demonstrating that WD cannot be homologous to CT.",WD,wilson disease
9949209,"By investigating the common autosomal recessive copper toxicosis (CT) in Bedlington terriers, we have identified a new locus involved in progressive liver disease.","By investigating the common autosomal recessive  CT in Bedlington terriers, we have identified a new locus involved in progressive liver disease.",CT,copper toxicosis
9949209,"We examined whether the WD gene ATP7B was also causative for CT by investigating the chromosomal co-localization of ATP7B and C04107, using fluorescence in situ hybridization (FISH).","We examined whether the WD gene ATP7B was also causative for CT by investigating the chromosomal co-localization of ATP7B and C04107, using fluorescence in situ hybridization (FISH).",CT,copper toxicosis
9949209,The copper transport genes CTR1 and CTR2 were also excluded as candidate genes for CT since they both mapped to canine chromosome region CFA11q22.,The copper transport genes CTR1 and CTR2 were also excluded as candidate genes for CT since they both mapped to canine chromosome region CFA11q22.,CT,copper toxicosis
9950360,BACKGROUND/AIMS  The development of colorectal cancer and a variable range of extracolonic manifestations in familial adenomatous polyposis (FAP) is the result of the dominant inheritance of adenomatous polyposis coli (APC) gene mutations.,BACKGROUND/AIMS  The development of colorectal cancer and a variable range of extracolonic manifestations in  FAP is the result of the dominant inheritance of adenomatous polyposis coli (APC) gene mutations.,FAP,familial adenomatous polyposis
9950360,"METHODS  The APC gene was analysed in 190 unrelated FAP and 15 non-FAP colorectal cancer patients using denaturing gradient gel electrophoresis, the protein truncation test, and direct sequencing.","METHODS  The APC gene was analysed in 190 unrelated FAP and 15 non-FAP colorectal cancer patients using denaturing gradient gel electrophoresis, the protein truncation test, and direct sequencing.",FAP,familial adenomatous polyposis
9950360,RESULTS  Chain terminating signals were only identified in patients belonging to the FAP group (105 patients).,RESULTS  Chain terminating signals were only identified in patients belonging to the FAP group (105 patients).,FAP,familial adenomatous polyposis
9950360,Genotype-phenotype correlations identified significant differences in the nature of certain extracolonic manifestations in FAP patients belonging to three mutation subgroups.,Genotype-phenotype correlations identified significant differences in the nature of certain extracolonic manifestations in FAP patients belonging to three mutation subgroups.,FAP,familial adenomatous polyposis
9950360,This study also provided evidence for the pathological nature of amino acid changes in APC associated with both FAP and non-FAP colorectal cancer patients..,This study also provided evidence for the pathological nature of amino acid changes in APC associated with both FAP and non-FAP colorectal cancer patients..,FAP,familial adenomatous polyposis
9950360,BACKGROUND/AIMS  The development of colorectal cancer and a variable range of extracolonic manifestations in familial adenomatous polyposis (FAP) is the result of the dominant inheritance of adenomatous polyposis coli (APC) gene mutations.,BACKGROUND/AIMS  The development of colorectal cancer and a variable range of extracolonic manifestations in familial adenomatous polyposis (FAP) is the result of the dominant inheritance of  APC gene mutations.,APC,adenomatous polyposis coli
9950360,"In this study, direct mutation analysis of the APC gene was performed to determine genotype-phenotype correlations for nine extracolonic manifestations and to investigate the incidence of APC mutations in non-FAP colorectal cancer.","In this study, direct mutation analysis of the APC gene was performed to determine genotype-phenotype correlations for nine extracolonic manifestations and to investigate the incidence of APC mutations in non-FAP colorectal cancer.",APC,adenomatous polyposis coli
9950360,"METHODS  The APC gene was analysed in 190 unrelated FAP and 15 non-FAP colorectal cancer patients using denaturing gradient gel electrophoresis, the protein truncation test, and direct sequencing.","METHODS  The APC gene was analysed in 190 unrelated FAP and 15 non-FAP colorectal cancer patients using denaturing gradient gel electrophoresis, the protein truncation test, and direct sequencing.",APC,adenomatous polyposis coli
9950360,This study also provided evidence for the pathological nature of amino acid changes in APC associated with both FAP and non-FAP colorectal cancer patients..,This study also provided evidence for the pathological nature of amino acid changes in APC associated with both FAP and non-FAP colorectal cancer patients..,APC,adenomatous polyposis coli
9634518,Phenylketonuria (PKU) and mild hyperphenylalaninemia (MHP) are allelic disorders caused by mutations in the gene encoding phenylalanine hydroxylase (PAH).,Phenylketonuria (PKU) and  MHP are allelic disorders caused by mutations in the gene encoding phenylalanine hydroxylase (PAH).,MHP,mild hyperphenylalaninemia
9634518,Phenylketonuria (PKU) and mild hyperphenylalaninemia (MHP) are allelic disorders caused by mutations in the gene encoding phenylalanine hydroxylase (PAH).,Phenylketonuria (PKU) and mild hyperphenylalaninemia (MHP) are allelic disorders caused by mutations in the gene encoding  PAH.,PAH,phenylalanine hydroxylase
9634518,Previous studies have suggested that the highly variable metabolic phenotypes of PAH deficiency correlate with PAH genotypes.,Previous studies have suggested that the highly variable metabolic phenotypes of PAH deficiency correlate with PAH genotypes.,PAH,phenylalanine hydroxylase
9634518,Our data indicate that the PAH-mutation genotype is the main determinant of metabolic phenotype in most patients with PAH deficiency.,Our data indicate that the PAH-mutation genotype is the main determinant of metabolic phenotype in most patients with PAH deficiency.,PAH,phenylalanine hydroxylase
9634518,"In the present study, the classification of 105 PAH mutations may allow the prediction of the biochemical phenotype in > 10, 000 genotypes, which may be useful for the management of hyperphenylalaninemia in newborns.","In the present study, the classification of 105 PAH mutations may allow the prediction of the biochemical phenotype in > 10, 000 genotypes, which may be useful for the management of hyperphenylalaninemia in newborns.",PAH,phenylalanine hydroxylase
9563950,Myotonic dystrophy (DM) is caused by a CTG expansion in the 3 untranslated region of the DM gene., DM is caused by a CTG expansion in the 3 untranslated region of the DM gene.,DM,myotonic dystrophy
9563950,One model of DM pathogenesis suggests that RNAs from the expanded allele create a gain-of-function mutation by the inappropriate binding of proteins to the CUG repeats.,One model of DM pathogenesis suggests that RNAs from the expanded allele create a gain-of-function mutation by the inappropriate binding of proteins to the CUG repeats.,DM,myotonic dystrophy
9563950,Splicing of cTNT was disrupted in DM striated muscle and in normal cells expressing transcripts that contain CUG repeats.,Splicing of cTNT was disrupted in DM striated muscle and in normal cells expressing transcripts that contain CUG repeats.,DM,myotonic dystrophy
9563950,Altered expression of genes regulated posttranscriptionally by CUG-BP therefore may contribute to DM pathogenesis..,Altered expression of genes regulated posttranscriptionally by CUG-BP therefore may contribute to DM pathogenesis..,DM,myotonic dystrophy
9674903,Maternal uniparental disomy (UPD) for chromosome 15 is responsible for an estimated 30% of cases of Prader-Willi syndrome (PWS).,Maternal  UPD for chromosome 15 is responsible for an estimated 30% of cases of Prader-Willi syndrome (PWS).,UPD,uniparental disomy
9674903,"with 45 chromosomes and the derivative 3 but without the der (15) demonstrated a phenotype consistent with that reported for haploinsufficiency of distal 3 p. Uniparental disomy associated with unbalanced segregation of non-Robertsonian translocations has been reported previously but has not, to our knowledge, been observed in a case of PWS.","with 45 chromosomes and the derivative 3 but without the der (15) demonstrated a phenotype consistent with that reported for haploinsufficiency of distal 3 p.  associated with unbalanced segregation of non-Robertsonian translocations has been reported previously but has not, to our knowledge, been observed in a case of PWS.",UPD,uniparental disomy
9674903,"Furthermore, our findings are best interpreted as true gamete complementation resulting in maternal UPD 15 and PWS","Furthermore, our findings are best interpreted as true gamete complementation resulting in maternal UPD 15 and PWS",UPD,uniparental disomy
9674903,Maternal uniparental disomy (UPD) for chromosome 15 is responsible for an estimated 30% of cases of Prader-Willi syndrome (PWS).,Maternal uniparental disomy (UPD) for chromosome 15 is responsible for an estimated 30% of cases of  PWS.,PWS,prader-willi syndrome
9674903,We report on an unusual case of maternal disomy 15 in PWS that is most consistent with adjacent-1 segregation of a paternal t (3; 15) (p25; q11.,We report on an unusual case of maternal disomy 15 in PWS that is most consistent with adjacent-1 segregation of a paternal t (3; 15) (p25; q11.,PWS,prader-willi syndrome
